

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736729124
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-10.50,
1,2910065340557820165,-10.56,
2,2902201770801365469,-10.56,
3,2893986434666987807,-10.38,
4,2918313179895300117,-10.13,
5,2935393797722341677,-10.50,
6,2910065340557820165,-10.56,
7,2902201770801365469,-10.56,
8,2893986434666987807,-10.38,
9,2918313179895300117,-10.13,
10,2935393797722341677,-10.50,
11,2910065340557820165,-10.56,
12,2902201770801365469,-10.56,
13,2893986434666987807,-10.38,
14,2918313179895300117,-10.13,
15,2935393797722341677,-10.50,
16,2910065340557820165,-10.56,
17,2902201770801365469,-10.50,
18,2893986434666987807,-10.38,
19,2918313179895300117,-10.13,
20,2935393797722341677,-10.50,
21,2910065340557820165,-10.56,
22,2902201770801365469,-10.50,
23,2893986434666987807,-10.38,
24,2918313179895300117,-10.13,
25,2935393797722341677,-10.50,
26,2910065340557820165,-10.50,
27,2902201770801365469,-10.50,
28,2893986434666987807,-10.38,
29,2918313179895300117,-10.13,
THERMISTORS_STOP

DATA-stop

