

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1736821464
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,1.94,
1,2910065340557820165,1.87,
2,2902201770801365469,1.62,
3,2893986434666987807,1.94,
4,2918313179895300117,1.94,
5,2935393797722341677,1.94,
6,2910065340557820165,1.87,
7,2902201770801365469,1.62,
8,2893986434666987807,1.94,
9,2918313179895300117,2.00,
10,2935393797722341677,1.94,
11,2910065340557820165,1.94,
12,2902201770801365469,1.62,
13,2893986434666987807,1.94,
14,2918313179895300117,2.00,
15,2935393797722341677,1.94,
16,2910065340557820165,1.94,
17,2902201770801365469,1.62,
18,2893986434666987807,1.94,
19,2918313179895300117,2.00,
20,2935393797722341677,1.94,
21,2910065340557820165,1.94,
22,2902201770801365469,1.62,
23,2893986434666987807,1.94,
24,2918313179895300117,1.94,
25,2935393797722341677,1.94,
26,2910065340557820165,1.87,
27,2902201770801365469,1.62,
28,2893986434666987807,1.94,
29,2918313179895300117,1.94,
THERMISTORS_STOP

DATA-stop

