

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735143102
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,5.12,
1,2910065340557820165,5.12,
2,2902201770801365469,5.00,
3,2893986434666987807,5.12,
4,2918313179895300117,5.25,
5,2935393797722341677,5.12,
6,2910065340557820165,5.12,
7,2902201770801365469,5.00,
8,2893986434666987807,5.12,
9,2918313179895300117,5.25,
10,2935393797722341677,5.12,
11,2910065340557820165,5.12,
12,2902201770801365469,5.00,
13,2893986434666987807,5.12,
14,2918313179895300117,5.25,
15,2935393797722341677,5.12,
16,2910065340557820165,5.12,
17,2902201770801365469,5.00,
18,2893986434666987807,5.12,
19,2918313179895300117,5.25,
20,2935393797722341677,5.12,
21,2910065340557820165,5.12,
22,2902201770801365469,5.00,
23,2893986434666987807,5.19,
24,2918313179895300117,5.19,
25,2935393797722341677,5.12,
26,2910065340557820165,5.12,
27,2902201770801365469,5.00,
28,2893986434666987807,5.19,
29,2918313179895300117,5.25,
THERMISTORS_STOP

DATA-stop

