

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1737666720
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.75,
1,2910065340557820165,-0.75,
2,2902201770801365469,-0.69,
3,2893986434666987807,-0.62,
4,2918313179895300117,-0.44,
5,2935393797722341677,-0.75,
6,2910065340557820165,-0.75,
7,2902201770801365469,-0.69,
8,2893986434666987807,-0.62,
9,2918313179895300117,-0.44,
10,2935393797722341677,-0.69,
11,2910065340557820165,-0.75,
12,2902201770801365469,-0.69,
13,2893986434666987807,-0.62,
14,2918313179895300117,-0.44,
15,2935393797722341677,-0.69,
16,2910065340557820165,-0.75,
17,2902201770801365469,-0.69,
18,2893986434666987807,-0.62,
19,2918313179895300117,-0.44,
20,2935393797722341677,-0.69,
21,2910065340557820165,-0.75,
22,2902201770801365469,-0.69,
23,2893986434666987807,-0.62,
24,2918313179895300117,-0.44,
25,2935393797722341677,-0.75,
26,2910065340557820165,-0.75,
27,2902201770801365469,-0.69,
28,2893986434666987807,-0.62,
29,2918313179895300117,-0.44,
THERMISTORS_STOP

DATA-stop

