

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738408441
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,0.06,
1,2910065340557820165,0.19,
2,2902201770801365469,2.37,
3,2893986434666987807,0.69,
4,2918313179895300117,2.19,
5,2935393797722341677,0.06,
6,2910065340557820165,0.19,
7,2902201770801365469,2.37,
8,2893986434666987807,0.69,
9,2918313179895300117,2.19,
10,2935393797722341677,0.06,
11,2910065340557820165,0.19,
12,2902201770801365469,2.37,
13,2893986434666987807,0.69,
14,2918313179895300117,2.19,
15,2935393797722341677,0.06,
16,2910065340557820165,0.25,
17,2902201770801365469,2.37,
18,2893986434666987807,0.75,
19,2918313179895300117,2.19,
20,2935393797722341677,0.06,
21,2910065340557820165,0.25,
22,2902201770801365469,2.37,
23,2893986434666987807,0.75,
24,2918313179895300117,2.25,
25,2935393797722341677,0.06,
26,2910065340557820165,0.25,
27,2902201770801365469,2.31,
28,2893986434666987807,0.75,
29,2918313179895300117,2.25,
THERMISTORS_STOP

DATA-stop

