

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738440018
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-6.69,
1,2910065340557820165,-6.62,
2,2902201770801365469,-6.94,
3,2893986434666987807,-6.75,
4,2918313179895300117,-6.56,
5,2935393797722341677,-6.69,
6,2910065340557820165,-6.62,
7,2902201770801365469,-6.87,
8,2893986434666987807,-6.75,
9,2918313179895300117,-6.50,
10,2935393797722341677,-6.69,
11,2910065340557820165,-6.62,
12,2902201770801365469,-6.94,
13,2893986434666987807,-6.75,
14,2918313179895300117,-6.50,
15,2935393797722341677,-6.69,
16,2910065340557820165,-6.62,
17,2902201770801365469,-6.87,
18,2893986434666987807,-6.75,
19,2918313179895300117,-6.50,
20,2935393797722341677,-6.69,
21,2910065340557820165,-6.62,
22,2902201770801365469,-6.87,
23,2893986434666987807,-6.75,
24,2918313179895300117,-6.50,
25,2935393797722341677,-6.69,
26,2910065340557820165,-6.62,
27,2902201770801365469,-6.94,
28,2893986434666987807,-6.75,
29,2918313179895300117,-6.50,
THERMISTORS_STOP

DATA-stop

