

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735876190
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-7.81,
1,2910065340557820165,-7.75,
2,2902201770801365469,-9.19,
3,2893986434666987807,-8.19,
4,2918313179895300117,-8.63,
5,2935393797722341677,-7.81,
6,2910065340557820165,-7.75,
7,2902201770801365469,-9.19,
8,2893986434666987807,-8.19,
9,2918313179895300117,-8.63,
10,2935393797722341677,-7.81,
11,2910065340557820165,-7.75,
12,2902201770801365469,-9.19,
13,2893986434666987807,-8.19,
14,2918313179895300117,-8.63,
15,2935393797722341677,-7.81,
16,2910065340557820165,-7.75,
17,2902201770801365469,-9.19,
18,2893986434666987807,-8.19,
19,2918313179895300117,-8.63,
20,2935393797722341677,-7.81,
21,2910065340557820165,-7.75,
22,2902201770801365469,-9.19,
23,2893986434666987807,-8.19,
24,2918313179895300117,-8.63,
25,2935393797722341677,-7.81,
26,2910065340557820165,-7.75,
27,2902201770801365469,-9.19,
28,2893986434666987807,-8.19,
29,2918313179895300117,-8.63,
THERMISTORS_STOP

DATA-stop

