

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1734570911
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,5.19,
1,2910065340557820165,5.19,
2,2902201770801365469,4.62,
3,2893986434666987807,5.06,
4,2918313179895300117,4.75,
5,2935393797722341677,5.19,
6,2910065340557820165,5.19,
7,2902201770801365469,4.62,
8,2893986434666987807,5.12,
9,2918313179895300117,4.75,
10,2935393797722341677,5.25,
11,2910065340557820165,5.19,
12,2902201770801365469,4.62,
13,2893986434666987807,5.12,
14,2918313179895300117,4.75,
15,2935393797722341677,5.25,
16,2910065340557820165,5.19,
17,2902201770801365469,4.62,
18,2893986434666987807,5.12,
19,2918313179895300117,4.75,
20,2935393797722341677,5.25,
21,2910065340557820165,5.25,
22,2902201770801365469,4.62,
23,2893986434666987807,5.12,
24,2918313179895300117,4.75,
25,2935393797722341677,5.25,
26,2910065340557820165,5.19,
27,2902201770801365469,4.62,
28,2893986434666987807,5.12,
29,2918313179895300117,4.75,
THERMISTORS_STOP

DATA-stop

