

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735939901
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-10.56,
1,2910065340557820165,-10.63,
2,2902201770801365469,-10.94,
3,2893986434666987807,-10.81,
4,2918313179895300117,-10.81,
5,2935393797722341677,-10.56,
6,2910065340557820165,-10.56,
7,2902201770801365469,-10.94,
8,2893986434666987807,-10.81,
9,2918313179895300117,-10.75,
10,2935393797722341677,-10.50,
11,2910065340557820165,-10.56,
12,2902201770801365469,-10.94,
13,2893986434666987807,-10.81,
14,2918313179895300117,-10.81,
15,2935393797722341677,-10.50,
16,2910065340557820165,-10.56,
17,2902201770801365469,-10.94,
18,2893986434666987807,-10.81,
19,2918313179895300117,-10.75,
20,2935393797722341677,-10.56,
21,2910065340557820165,-10.56,
22,2902201770801365469,-10.94,
23,2893986434666987807,-10.81,
24,2918313179895300117,-10.75,
25,2935393797722341677,-10.50,
26,2910065340557820165,-10.56,
27,2902201770801365469,-10.94,
28,2893986434666987807,-10.81,
29,2918313179895300117,-10.75,
THERMISTORS_STOP

DATA-stop

