millis,stamp,datetime,ambient_temp,object_temp
3269999, 1736258403, "2025/1/7 14:0:3", 3.23, 0.87
3280000, 1736258413, "2025/1/7 14:0:13", 3.23, 0.83
3289999, 1736258423, "2025/1/7 14:0:23", 3.21, 0.83
3299999, 1736258433, "2025/1/7 14:0:33", 3.25, 0.83
3309999, 1736258443, "2025/1/7 14:0:43", 3.17, 0.89
3320000, 1736258453, "2025/1/7 14:0:53", 3.19, 0.91
3329999, 1736258463, "2025/1/7 14:1:3", 3.17, 0.83
3339999, 1736258473, "2025/1/7 14:1:13", 3.19, 0.91
3349999, 1736258483, "2025/1/7 14:1:23", 3.13, 0.83
3359998, 1736258493, "2025/1/7 14:1:33", 3.13, 0.95
3369999, 1736258503, "2025/1/7 14:1:43", 3.15, 0.87
3379999, 1736258513, "2025/1/7 14:1:53", 3.11, 0.93
3389999, 1736258523, "2025/1/7 14:2:3", 3.09, 0.81
3399999, 1736258533, "2025/1/7 14:2:13", 3.07, 0.89
3409999, 1736258543, "2025/1/7 14:2:23", 3.07, 0.71
3419999, 1736258553, "2025/1/7 14:2:33", 3.03, 0.93
3429999, 1736258563, "2025/1/7 14:2:43", 3.07, 0.93
3439998, 1736258573, "2025/1/7 14:2:53", 3.01, 0.93
3449999, 1736258583, "2025/1/7 14:3:3", 2.97, 0.91
3459999, 1736258593, "2025/1/7 14:3:13", 2.97, 0.81
3470000, 1736258603, "2025/1/7 14:3:23", 2.95, 0.95
3479999, 1736258613, "2025/1/7 14:3:33", 2.95, 0.89
3489999, 1736258623, "2025/1/7 14:3:43", 2.89, 0.91
3499999, 1736258633, "2025/1/7 14:3:53", 2.89, 0.75
3509999, 1736258643, "2025/1/7 14:4:3", 2.87, 0.83
3520000, 1736258653, "2025/1/7 14:4:13", 2.89, 0.81
3529999, 1736258663, "2025/1/7 14:4:23", 2.87, 0.75
3539999, 1736258673, "2025/1/7 14:4:33", 2.87, 0.81
3549999, 1736258683, "2025/1/7 14:4:43", 2.85, 0.77
3559999, 1736258693, "2025/1/7 14:4:53", 2.83, 0.79
3569999, 1736258703, "2025/1/7 14:5:3", 2.81, 0.81
3579999, 1736258713, "2025/1/7 14:5:13", 2.81, 0.89
3589999, 1736258723, "2025/1/7 14:5:23", 2.77, 0.75
3599998, 1736258733, "2025/1/7 14:5:33", 2.77, 0.77
3609999, 1736258743, "2025/1/7 14:5:43", 2.79, 0.91
