

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742114730
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,4.31,
1,2910065340557820165,4.44,
2,2902201770801365469,6.37,
3,2893986434666987807,5.00,
4,2918313179895300117,5.81,
5,2935393797722341677,4.31,
6,2910065340557820165,4.44,
7,2902201770801365469,6.37,
8,2893986434666987807,5.00,
9,2918313179895300117,5.81,
10,2935393797722341677,4.31,
11,2910065340557820165,4.44,
12,2902201770801365469,6.37,
13,2893986434666987807,5.00,
14,2918313179895300117,5.87,
15,2935393797722341677,4.31,
16,2910065340557820165,4.44,
17,2902201770801365469,6.44,
18,2893986434666987807,5.00,
19,2918313179895300117,5.87,
20,2935393797722341677,4.31,
21,2910065340557820165,4.44,
22,2902201770801365469,6.44,
23,2893986434666987807,5.06,
24,2918313179895300117,5.87,
25,2935393797722341677,4.31,
26,2910065340557820165,4.44,
27,2902201770801365469,6.44,
28,2893986434666987807,5.06,
29,2918313179895300117,5.87,
THERMISTORS_STOP

DATA-stop

