

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1738854331
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,3.25,
1,2910065340557820165,3.25,
2,2902201770801365469,2.62,
3,2893986434666987807,3.25,
4,2918313179895300117,2.94,
5,2935393797722341677,3.25,
6,2910065340557820165,3.25,
7,2902201770801365469,2.69,
8,2893986434666987807,3.25,
9,2918313179895300117,2.94,
10,2935393797722341677,3.25,
11,2910065340557820165,3.25,
12,2902201770801365469,2.69,
13,2893986434666987807,3.25,
14,2918313179895300117,2.94,
15,2935393797722341677,3.25,
16,2910065340557820165,3.25,
17,2902201770801365469,2.69,
18,2893986434666987807,3.25,
19,2918313179895300117,2.94,
20,2935393797722341677,3.25,
21,2910065340557820165,3.25,
22,2902201770801365469,2.69,
23,2893986434666987807,3.25,
24,2918313179895300117,2.94,
25,2935393797722341677,3.25,
26,2910065340557820165,3.25,
27,2902201770801365469,2.69,
28,2893986434666987807,3.25,
29,2918313179895300117,2.94,
THERMISTORS_STOP

DATA-stop

