

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741198590
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,6.75,
1,2910065340557820165,6.75,
2,2902201770801365469,6.25,
3,2893986434666987807,6.75,
4,2918313179895300117,6.50,
5,2935393797722341677,6.75,
6,2910065340557820165,6.75,
7,2902201770801365469,6.25,
8,2893986434666987807,6.69,
9,2918313179895300117,6.50,
10,2935393797722341677,6.75,
11,2910065340557820165,6.75,
12,2902201770801365469,6.25,
13,2893986434666987807,6.75,
14,2918313179895300117,6.56,
15,2935393797722341677,6.75,
16,2910065340557820165,6.75,
17,2902201770801365469,6.25,
18,2893986434666987807,6.75,
19,2918313179895300117,6.50,
20,2935393797722341677,6.75,
21,2910065340557820165,6.75,
22,2902201770801365469,6.25,
23,2893986434666987807,6.75,
24,2918313179895300117,6.50,
25,2935393797722341677,6.75,
26,2910065340557820165,6.75,
27,2902201770801365469,6.25,
28,2893986434666987807,6.75,
29,2918313179895300117,6.50,
THERMISTORS_STOP

DATA-stop

