

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742274090
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-1.31,
1,2910065340557820165,-1.25,
2,2902201770801365469,-1.69,
3,2893986434666987807,-1.69,
4,2918313179895300117,-1.25,
5,2935393797722341677,-1.31,
6,2910065340557820165,-1.25,
7,2902201770801365469,-1.69,
8,2893986434666987807,-1.62,
9,2918313179895300117,-1.25,
10,2935393797722341677,-1.31,
11,2910065340557820165,-1.25,
12,2902201770801365469,-1.69,
13,2893986434666987807,-1.62,
14,2918313179895300117,-1.25,
15,2935393797722341677,-1.25,
16,2910065340557820165,-1.25,
17,2902201770801365469,-1.69,
18,2893986434666987807,-1.62,
19,2918313179895300117,-1.25,
20,2935393797722341677,-1.31,
21,2910065340557820165,-1.25,
22,2902201770801365469,-1.62,
23,2893986434666987807,-1.62,
24,2918313179895300117,-1.25,
25,2935393797722341677,-1.31,
26,2910065340557820165,-1.25,
27,2902201770801365469,-1.62,
28,2893986434666987807,-1.62,
29,2918313179895300117,-1.25,
THERMISTORS_STOP

DATA-stop

