

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742000610
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-4.56,
1,2910065340557820165,-4.50,
2,2902201770801365469,-4.69,
3,2893986434666987807,-4.56,
4,2918313179895300117,-4.25,
5,2935393797722341677,-4.56,
6,2910065340557820165,-4.50,
7,2902201770801365469,-4.69,
8,2893986434666987807,-4.56,
9,2918313179895300117,-4.25,
10,2935393797722341677,-4.56,
11,2910065340557820165,-4.50,
12,2902201770801365469,-4.69,
13,2893986434666987807,-4.50,
14,2918313179895300117,-4.25,
15,2935393797722341677,-4.56,
16,2910065340557820165,-4.44,
17,2902201770801365469,-4.69,
18,2893986434666987807,-4.50,
19,2918313179895300117,-4.25,
20,2935393797722341677,-4.56,
21,2910065340557820165,-4.44,
22,2902201770801365469,-4.69,
23,2893986434666987807,-4.50,
24,2918313179895300117,-4.19,
25,2935393797722341677,-4.56,
26,2910065340557820165,-4.44,
27,2902201770801365469,-4.69,
28,2893986434666987807,-4.50,
29,2918313179895300117,-4.25,
THERMISTORS_STOP

DATA-stop

