

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740910459
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,7.56,
1,2910065340557820165,7.69,
2,2902201770801365469,9.50,
3,2893986434666987807,8.25,
4,2918313179895300117,8.88,
5,2935393797722341677,7.56,
6,2910065340557820165,7.69,
7,2902201770801365469,9.50,
8,2893986434666987807,8.25,
9,2918313179895300117,8.88,
10,2935393797722341677,7.56,
11,2910065340557820165,7.69,
12,2902201770801365469,9.50,
13,2893986434666987807,8.31,
14,2918313179895300117,8.88,
15,2935393797722341677,7.56,
16,2910065340557820165,7.69,
17,2902201770801365469,9.50,
18,2893986434666987807,8.31,
19,2918313179895300117,8.94,
20,2935393797722341677,7.56,
21,2910065340557820165,7.69,
22,2902201770801365469,9.56,
23,2893986434666987807,8.31,
24,2918313179895300117,8.94,
25,2935393797722341677,7.56,
26,2910065340557820165,7.75,
27,2902201770801365469,9.56,
28,2893986434666987807,8.31,
29,2918313179895300117,8.94,
THERMISTORS_STOP

DATA-stop

