

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1740743111
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,0.94,
1,2910065340557820165,0.94,
2,2902201770801365469,2.06,
3,2893986434666987807,1.31,
4,2918313179895300117,2.37,
5,2935393797722341677,0.94,
6,2910065340557820165,0.94,
7,2902201770801365469,2.06,
8,2893986434666987807,1.31,
9,2918313179895300117,2.37,
10,2935393797722341677,0.94,
11,2910065340557820165,1.00,
12,2902201770801365469,2.06,
13,2893986434666987807,1.31,
14,2918313179895300117,2.37,
15,2935393797722341677,0.94,
16,2910065340557820165,1.00,
17,2902201770801365469,2.06,
18,2893986434666987807,1.31,
19,2918313179895300117,2.37,
20,2935393797722341677,0.94,
21,2910065340557820165,1.00,
22,2902201770801365469,2.06,
23,2893986434666987807,1.31,
24,2918313179895300117,2.37,
25,2935393797722341677,0.94,
26,2910065340557820165,1.00,
27,2902201770801365469,2.06,
28,2893986434666987807,1.31,
29,2918313179895300117,2.37,
THERMISTORS_STOP

DATA-stop

