

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739864670
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-5.00,
1,2910065340557820165,-4.56,
2,2902201770801365469,-2.00,
3,2893986434666987807,-3.87,
4,2918313179895300117,-2.69,
5,2935393797722341677,-5.00,
6,2910065340557820165,-4.56,
7,2902201770801365469,-2.00,
8,2893986434666987807,-3.87,
9,2918313179895300117,-2.69,
10,2935393797722341677,-5.00,
11,2910065340557820165,-4.56,
12,2902201770801365469,-2.00,
13,2893986434666987807,-3.81,
14,2918313179895300117,-2.69,
15,2935393797722341677,-5.00,
16,2910065340557820165,-4.56,
17,2902201770801365469,-2.00,
18,2893986434666987807,-3.81,
19,2918313179895300117,-2.69,
20,2935393797722341677,-4.94,
21,2910065340557820165,-4.56,
22,2902201770801365469,-1.94,
23,2893986434666987807,-3.81,
24,2918313179895300117,-2.69,
25,2935393797722341677,-5.00,
26,2910065340557820165,-4.56,
27,2902201770801365469,-2.00,
28,2893986434666987807,-3.81,
29,2918313179895300117,-2.69,
THERMISTORS_STOP

DATA-stop

