

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739072501
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-6.56,
1,2910065340557820165,-6.56,
2,2902201770801365469,-6.75,
3,2893986434666987807,-6.44,
4,2918313179895300117,-6.31,
5,2935393797722341677,-6.56,
6,2910065340557820165,-6.56,
7,2902201770801365469,-6.75,
8,2893986434666987807,-6.44,
9,2918313179895300117,-6.31,
10,2935393797722341677,-6.56,
11,2910065340557820165,-6.56,
12,2902201770801365469,-6.75,
13,2893986434666987807,-6.44,
14,2918313179895300117,-6.31,
15,2935393797722341677,-6.56,
16,2910065340557820165,-6.56,
17,2902201770801365469,-6.75,
18,2893986434666987807,-6.44,
19,2918313179895300117,-6.31,
20,2935393797722341677,-6.56,
21,2910065340557820165,-6.56,
22,2902201770801365469,-6.75,
23,2893986434666987807,-6.44,
24,2918313179895300117,-6.31,
25,2935393797722341677,-6.56,
26,2910065340557820165,-6.56,
27,2902201770801365469,-6.75,
28,2893986434666987807,-6.44,
29,2918313179895300117,-6.31,
THERMISTORS_STOP

DATA-stop

