

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742540970
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.62,
1,2910065340557820165,3.12,
2,2902201770801365469,4.69,
3,2893986434666987807,2.00,
4,2918313179895300117,5.00,
5,2935393797722341677,2.62,
6,2910065340557820165,3.12,
7,2902201770801365469,4.69,
8,2893986434666987807,2.00,
9,2918313179895300117,5.00,
10,2935393797722341677,2.62,
11,2910065340557820165,3.12,
12,2902201770801365469,4.69,
13,2893986434666987807,2.00,
14,2918313179895300117,5.00,
15,2935393797722341677,2.62,
16,2910065340557820165,3.12,
17,2902201770801365469,4.69,
18,2893986434666987807,2.00,
19,2918313179895300117,5.06,
20,2935393797722341677,2.62,
21,2910065340557820165,3.12,
22,2902201770801365469,4.69,
23,2893986434666987807,2.00,
24,2918313179895300117,5.06,
25,2935393797722341677,2.62,
26,2910065340557820165,3.12,
27,2902201770801365469,4.75,
28,2893986434666987807,2.00,
29,2918313179895300117,5.06,
THERMISTORS_STOP

DATA-stop

