

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739361342
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.19,
1,2910065340557820165,-0.06,
2,2902201770801365469,1.87,
3,2893986434666987807,-0.56,
4,2918313179895300117,2.00,
5,2935393797722341677,-0.19,
6,2910065340557820165,-0.06,
7,2902201770801365469,1.87,
8,2893986434666987807,-0.56,
9,2918313179895300117,2.00,
10,2935393797722341677,-0.19,
11,2910065340557820165,-0.06,
12,2902201770801365469,1.87,
13,2893986434666987807,-0.56,
14,2918313179895300117,2.00,
15,2935393797722341677,-0.19,
16,2910065340557820165,-0.06,
17,2902201770801365469,1.81,
18,2893986434666987807,-0.56,
19,2918313179895300117,2.00,
20,2935393797722341677,-0.19,
21,2910065340557820165,-0.06,
22,2902201770801365469,1.81,
23,2893986434666987807,-0.56,
24,2918313179895300117,2.00,
25,2935393797722341677,-0.19,
26,2910065340557820165,-0.06,
27,2902201770801365469,1.81,
28,2893986434666987807,-0.56,
29,2918313179895300117,2.00,
THERMISTORS_STOP

DATA-stop

