

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739262499
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-0.50,
1,2910065340557820165,-0.19,
2,2902201770801365469,2.75,
3,2893986434666987807,0.69,
4,2918313179895300117,1.81,
5,2935393797722341677,-0.44,
6,2910065340557820165,-0.19,
7,2902201770801365469,2.75,
8,2893986434666987807,0.69,
9,2918313179895300117,1.81,
10,2935393797722341677,-0.44,
11,2910065340557820165,-0.19,
12,2902201770801365469,2.69,
13,2893986434666987807,0.69,
14,2918313179895300117,1.75,
15,2935393797722341677,-0.44,
16,2910065340557820165,-0.19,
17,2902201770801365469,2.75,
18,2893986434666987807,0.69,
19,2918313179895300117,1.81,
20,2935393797722341677,-0.44,
21,2910065340557820165,-0.19,
22,2902201770801365469,2.75,
23,2893986434666987807,0.69,
24,2918313179895300117,1.81,
25,2935393797722341677,-0.44,
26,2910065340557820165,-0.13,
27,2902201770801365469,2.75,
28,2893986434666987807,0.69,
29,2918313179895300117,1.81,
THERMISTORS_STOP

DATA-stop

