

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739685120
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-12.81,
1,2910065340557820165,-12.81,
2,2902201770801365469,-12.94,
3,2893986434666987807,-12.81,
4,2918313179895300117,-12.44,
5,2935393797722341677,-12.81,
6,2910065340557820165,-12.75,
7,2902201770801365469,-12.94,
8,2893986434666987807,-12.75,
9,2918313179895300117,-12.44,
10,2935393797722341677,-12.81,
11,2910065340557820165,-12.75,
12,2902201770801365469,-12.94,
13,2893986434666987807,-12.75,
14,2918313179895300117,-12.44,
15,2935393797722341677,-12.75,
16,2910065340557820165,-12.75,
17,2902201770801365469,-12.94,
18,2893986434666987807,-12.75,
19,2918313179895300117,-12.44,
20,2935393797722341677,-12.75,
21,2910065340557820165,-12.75,
22,2902201770801365469,-12.94,
23,2893986434666987807,-12.75,
24,2918313179895300117,-12.44,
25,2935393797722341677,-12.81,
26,2910065340557820165,-12.75,
27,2902201770801365469,-12.94,
28,2893986434666987807,-12.75,
29,2918313179895300117,-12.44,
THERMISTORS_STOP

DATA-stop

