

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742218410
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,5.56,
1,2910065340557820165,5.62,
2,2902201770801365469,5.75,
3,2893986434666987807,6.12,
4,2918313179895300117,5.94,
5,2935393797722341677,5.56,
6,2910065340557820165,5.56,
7,2902201770801365469,5.75,
8,2893986434666987807,6.12,
9,2918313179895300117,5.94,
10,2935393797722341677,5.56,
11,2910065340557820165,5.56,
12,2902201770801365469,5.75,
13,2893986434666987807,6.12,
14,2918313179895300117,5.94,
15,2935393797722341677,5.56,
16,2910065340557820165,5.62,
17,2902201770801365469,5.75,
18,2893986434666987807,6.12,
19,2918313179895300117,5.94,
20,2935393797722341677,5.56,
21,2910065340557820165,5.62,
22,2902201770801365469,5.75,
23,2893986434666987807,6.12,
24,2918313179895300117,5.94,
25,2935393797722341677,5.56,
26,2910065340557820165,5.62,
27,2902201770801365469,5.75,
28,2893986434666987807,6.12,
29,2918313179895300117,5.94,
THERMISTORS_STOP

DATA-stop

