

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742309611
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,12.38,
1,2910065340557820165,13.06,
2,2902201770801365469,12.94,
3,2893986434666987807,13.56,
4,2918313179895300117,13.06,
5,2935393797722341677,12.44,
6,2910065340557820165,13.13,
7,2902201770801365469,12.94,
8,2893986434666987807,13.56,
9,2918313179895300117,13.06,
10,2935393797722341677,12.38,
11,2910065340557820165,13.13,
12,2902201770801365469,12.94,
13,2893986434666987807,13.56,
14,2918313179895300117,13.06,
15,2935393797722341677,12.38,
16,2910065340557820165,13.13,
17,2902201770801365469,12.94,
18,2893986434666987807,13.56,
19,2918313179895300117,13.06,
20,2935393797722341677,12.38,
21,2910065340557820165,13.13,
22,2902201770801365469,12.94,
23,2893986434666987807,13.56,
24,2918313179895300117,13.06,
25,2935393797722341677,12.38,
26,2910065340557820165,13.13,
27,2902201770801365469,12.94,
28,2893986434666987807,13.56,
29,2918313179895300117,13.06,
THERMISTORS_STOP

DATA-stop

