

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741267060
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,15.19,
1,2910065340557820165,15.25,
2,2902201770801365469,15.75,
3,2893986434666987807,15.50,
4,2918313179895300117,15.63,
5,2935393797722341677,15.25,
6,2910065340557820165,15.25,
7,2902201770801365469,15.75,
8,2893986434666987807,15.50,
9,2918313179895300117,15.63,
10,2935393797722341677,15.25,
11,2910065340557820165,15.25,
12,2902201770801365469,15.75,
13,2893986434666987807,15.50,
14,2918313179895300117,15.63,
15,2935393797722341677,15.25,
16,2910065340557820165,15.25,
17,2902201770801365469,15.75,
18,2893986434666987807,15.50,
19,2918313179895300117,15.69,
20,2935393797722341677,15.19,
21,2910065340557820165,15.25,
22,2902201770801365469,15.75,
23,2893986434666987807,15.50,
24,2918313179895300117,15.69,
25,2935393797722341677,15.25,
26,2910065340557820165,15.31,
27,2902201770801365469,15.75,
28,2893986434666987807,15.50,
29,2918313179895300117,15.69,
THERMISTORS_STOP

DATA-stop

