

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742544810
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,5.25,
1,2910065340557820165,5.12,
2,2902201770801365469,7.19,
3,2893986434666987807,6.12,
4,2918313179895300117,6.50,
5,2935393797722341677,5.25,
6,2910065340557820165,5.12,
7,2902201770801365469,7.19,
8,2893986434666987807,6.12,
9,2918313179895300117,6.50,
10,2935393797722341677,5.25,
11,2910065340557820165,5.12,
12,2902201770801365469,7.19,
13,2893986434666987807,6.12,
14,2918313179895300117,6.50,
15,2935393797722341677,5.25,
16,2910065340557820165,5.12,
17,2902201770801365469,7.19,
18,2893986434666987807,6.12,
19,2918313179895300117,6.50,
20,2935393797722341677,5.25,
21,2910065340557820165,5.12,
22,2902201770801365469,7.19,
23,2893986434666987807,6.12,
24,2918313179895300117,6.44,
25,2935393797722341677,5.25,
26,2910065340557820165,5.12,
27,2902201770801365469,7.19,
28,2893986434666987807,6.12,
29,2918313179895300117,6.44,
THERMISTORS_STOP

DATA-stop

