

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741290828
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,6.06,
1,2910065340557820165,6.00,
2,2902201770801365469,5.31,
3,2893986434666987807,5.69,
4,2918313179895300117,5.56,
5,2935393797722341677,6.06,
6,2910065340557820165,6.00,
7,2902201770801365469,5.31,
8,2893986434666987807,5.75,
9,2918313179895300117,5.56,
10,2935393797722341677,6.06,
11,2910065340557820165,6.00,
12,2902201770801365469,5.31,
13,2893986434666987807,5.75,
14,2918313179895300117,5.56,
15,2935393797722341677,6.06,
16,2910065340557820165,6.00,
17,2902201770801365469,5.31,
18,2893986434666987807,5.75,
19,2918313179895300117,5.56,
20,2935393797722341677,6.06,
21,2910065340557820165,6.00,
22,2902201770801365469,5.31,
23,2893986434666987807,5.75,
24,2918313179895300117,5.56,
25,2935393797722341677,6.06,
26,2910065340557820165,6.00,
27,2902201770801365469,5.31,
28,2893986434666987807,5.75,
29,2918313179895300117,5.56,
THERMISTORS_STOP

DATA-stop

