

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741234752
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,9.44,
1,2910065340557820165,9.44,
2,2902201770801365469,9.00,
3,2893986434666987807,9.38,
4,2918313179895300117,9.25,
5,2935393797722341677,9.44,
6,2910065340557820165,9.44,
7,2902201770801365469,9.00,
8,2893986434666987807,9.38,
9,2918313179895300117,9.25,
10,2935393797722341677,9.44,
11,2910065340557820165,9.44,
12,2902201770801365469,9.00,
13,2893986434666987807,9.38,
14,2918313179895300117,9.25,
15,2935393797722341677,9.50,
16,2910065340557820165,9.44,
17,2902201770801365469,9.00,
18,2893986434666987807,9.38,
19,2918313179895300117,9.25,
20,2935393797722341677,9.50,
21,2910065340557820165,9.44,
22,2902201770801365469,9.00,
23,2893986434666987807,9.38,
24,2918313179895300117,9.31,
25,2935393797722341677,9.44,
26,2910065340557820165,9.44,
27,2902201770801365469,9.00,
28,2893986434666987807,9.38,
29,2918313179895300117,9.25,
THERMISTORS_STOP

DATA-stop

