

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739479231
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-5.44,
1,2910065340557820165,-5.50,
2,2902201770801365469,-5.87,
3,2893986434666987807,-5.44,
4,2918313179895300117,-5.50,
5,2935393797722341677,-5.44,
6,2910065340557820165,-5.50,
7,2902201770801365469,-5.81,
8,2893986434666987807,-5.44,
9,2918313179895300117,-5.44,
10,2935393797722341677,-5.44,
11,2910065340557820165,-5.50,
12,2902201770801365469,-5.81,
13,2893986434666987807,-5.44,
14,2918313179895300117,-5.44,
15,2935393797722341677,-5.44,
16,2910065340557820165,-5.50,
17,2902201770801365469,-5.81,
18,2893986434666987807,-5.44,
19,2918313179895300117,-5.44,
20,2935393797722341677,-5.44,
21,2910065340557820165,-5.50,
22,2902201770801365469,-5.87,
23,2893986434666987807,-5.50,
24,2918313179895300117,-5.44,
25,2935393797722341677,-5.44,
26,2910065340557820165,-5.50,
27,2902201770801365469,-5.81,
28,2893986434666987807,-5.50,
29,2918313179895300117,-5.44,
THERMISTORS_STOP

DATA-stop

