

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1742206891
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,2.50,
1,2910065340557820165,2.44,
2,2902201770801365469,3.25,
3,2893986434666987807,3.25,
4,2918313179895300117,3.12,
5,2935393797722341677,2.50,
6,2910065340557820165,2.44,
7,2902201770801365469,3.25,
8,2893986434666987807,3.25,
9,2918313179895300117,3.12,
10,2935393797722341677,2.50,
11,2910065340557820165,2.44,
12,2902201770801365469,3.25,
13,2893986434666987807,3.25,
14,2918313179895300117,3.12,
15,2935393797722341677,2.50,
16,2910065340557820165,2.44,
17,2902201770801365469,3.25,
18,2893986434666987807,3.25,
19,2918313179895300117,3.12,
20,2935393797722341677,2.50,
21,2910065340557820165,2.44,
22,2902201770801365469,3.25,
23,2893986434666987807,3.25,
24,2918313179895300117,3.19,
25,2935393797722341677,2.56,
26,2910065340557820165,2.44,
27,2902201770801365469,3.31,
28,2893986434666987807,3.31,
29,2918313179895300117,3.19,
THERMISTORS_STOP

DATA-stop

