

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1741013131
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,10.88,
1,2910065340557820165,11.13,
2,2902201770801365469,10.94,
3,2893986434666987807,11.31,
4,2918313179895300117,11.19,
5,2935393797722341677,10.88,
6,2910065340557820165,11.06,
7,2902201770801365469,10.94,
8,2893986434666987807,11.31,
9,2918313179895300117,11.19,
10,2935393797722341677,10.88,
11,2910065340557820165,11.13,
12,2902201770801365469,10.94,
13,2893986434666987807,11.31,
14,2918313179895300117,11.13,
15,2935393797722341677,10.88,
16,2910065340557820165,11.13,
17,2902201770801365469,10.94,
18,2893986434666987807,11.31,
19,2918313179895300117,11.19,
20,2935393797722341677,10.88,
21,2910065340557820165,11.13,
22,2902201770801365469,10.94,
23,2893986434666987807,11.31,
24,2918313179895300117,11.19,
25,2935393797722341677,10.88,
26,2910065340557820165,11.13,
27,2902201770801365469,10.94,
28,2893986434666987807,11.31,
29,2918313179895300117,11.19,
THERMISTORS_STOP

DATA-stop

