

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1739647201
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-7.37,
1,2910065340557820165,-7.44,
2,2902201770801365469,-7.81,
3,2893986434666987807,-7.44,
4,2918313179895300117,-7.37,
5,2935393797722341677,-7.37,
6,2910065340557820165,-7.44,
7,2902201770801365469,-7.81,
8,2893986434666987807,-7.44,
9,2918313179895300117,-7.37,
10,2935393797722341677,-7.37,
11,2910065340557820165,-7.44,
12,2902201770801365469,-7.81,
13,2893986434666987807,-7.37,
14,2918313179895300117,-7.44,
15,2935393797722341677,-7.37,
16,2910065340557820165,-7.44,
17,2902201770801365469,-7.81,
18,2893986434666987807,-7.37,
19,2918313179895300117,-7.37,
20,2935393797722341677,-7.37,
21,2910065340557820165,-7.44,
22,2902201770801365469,-7.81,
23,2893986434666987807,-7.44,
24,2918313179895300117,-7.37,
25,2935393797722341677,-7.37,
26,2910065340557820165,-7.44,
27,2902201770801365469,-7.81,
28,2893986434666987807,-7.37,
29,2918313179895300117,-7.37,
THERMISTORS_STOP

DATA-stop

